iter	Passed	Remaining
835	46408	508721
836	46461	508635
837	46516	508576
838	46573	508536
839	46637	508568
840	46697	508565
841	46781	508814
842	46846	508861
843	46909	508892
844	46968	508867
845	47028	508858
846	47087	508842
847	47154	508911
848	47218	508945
849	47311	509293
850	47378	509361
851	47431	509272
852	47483	509180
853	47533	509068
854	47587	508986
855	47643	508936
856	47696	508850
857	47750	508781
858	47810	508772
859	47873	508791
860	47935	508806
861	47994	508781
862	48050	508737
863	48104	508663
864	48159	508602
865	48214	508539
866	48267	508448
867	48322	508385
868	48399	508557
869	48458	508538
870	48512	508462
871	48565	508374
872	48616	508274
873	48667	508167
874	48722	508105
875	48775	508019
876	48826	507921
877	48878	507822
878	48931	507742
879	48987	507684
880	49038	507586
881	49093	507517
882	49142	507397
883	49194	507303
884	49245	507196
885	49296	507094
886	49347	506995
887	49401	506923
888	49454	506837
889	49508	506767
890	49562	506696
891	49622	506678
892	49678	506632
893	49739	506634
894	49804	506667
895	49883	506850
896	49934	506748
897	49985	506643
898	50054	506725
899	50119	506760
900	50179	506750
901	50229	506634
902	50281	506546
903	50338	506507
904	50393	506438
905	50446	506362
906	50499	506280
907	50553	506202
908	50609	506146
909	50665	506097
910	50716	505999
911	50771	505937
912	50825	505858
913	50879	505787
914	50939	505772
915	50993	505702
916	51046	505618
917	51095	505497
918	51149	505425
919	51216	505486
920	51269	505398
921	51333	505433
922	51425	505729
923	51479	505660
924	51534	505591
925	51585	505491
926	51636	505389
927	51688	505302
928	51742	505224
929	51792	505117
930	51845	505033
931	51898	504949
932	51948	504845
933	52003	504774
934	52053	504672
935	52108	504606
936	52159	504505
937	52210	504404
938	52259	504282
939	52311	504198
940	52363	504099
941	52414	504002
942	52466	503907
943	52519	503833
944	52570	503728
945	52620	503618
946	52671	503521
947	52725	503451
948	52780	503392
949	52856	503527
950	52909	503444
951	52961	503357
952	53017	503306
953	53079	503307
954	53145	503349
955	53203	503314
956	53259	503269
957	53313	503198
958	53368	503128
959	53425	503094
960	53479	503022
961	53532	502941
962	53589	502892
963	53663	503012
964	53725	503019
965	53792	503067
966	53857	503097
967	53909	503010
968	53964	502948
969	54026	502947
970	54085	502920
971	54142	502882
972	54198	502824
973	54256	502788
974	54315	502767
975	54394	502923
976	54448	502851
977	54506	502815
978	54562	502765
979	54616	502695
980	54669	502613
981	54723	502545
982	54779	502488
983	54834	502428
984	54889	502367
985	54943	502288
986	54996	502212
987	55056	502191
988	55122	502231
989	55179	502189
990	55231	502102
991	55288	502051
992	55346	502018
993	55404	501982
994	55468	502001
995	55526	501965
996	55582	501915
997	55642	501894
998	55694	501803
999	55744	501700
1000	55805	501691
1001	55892	501916
1002	55953	501905
1003	56010	501865
1004	56078	501912
1005	56152	502022
1006	56233	502195
1007	56298	502217
1008	56356	502183
1009	56418	502181
1010	56476	502143
1011	56533	502099
1012	56593	502078
1013	56647	502007
1014	56703	501953
1015	56755	501864
1016	56811	501803
1017	56868	501760
1018	56922	501686
1019	56975	501603
1020	57028	501523
1021	57082	501455
1022	57179	501760
1023	57232	501678
1024	57285	501599
1025	57337	501507
1026	57392	501439
1027	57470	501579
1028	57523	501499
1029	57580	501457
1030	57658	501585
1031	57731	501681
1032	57797	501713
1033	57861	501728
1034	57923	501722
1035	57999	501841
1036	58071	501923
1037	58153	502093
1038	58212	502065
1039	58289	502184
1040	58355	502212
1041	58416	502199
1042	58476	502178
1043	58540	502194
1044	58603	502191
1045	58684	502350
1046	58755	502426
1047	58815	502397
1048	58872	502353
1049	58932	502328
1050	58989	502279
1051	59046	502234
1052	59104	502189
1053	59188	502371
1054	59244	502317
1055	59303	502279
1056	59361	502240
1057	59418	502197
1058	59477	502158
1059	59531	502089
1060	59587	502027
1061	59645	501987
1062	59703	501946
1063	59758	501882
1064	59815	501829
1065	59871	501773
1066	59933	501770
1067	59988	501698
1068	60047	501666
1069	60104	501617
1070	60162	501578
1071	60219	501533
1072	60276	501478
1073	60334	501440
1074	60391	501388
1075	60447	501331
1076	60502	501264
1077	60559	501216
1078	60615	501161
1079	60675	501131
1080	60753	501261
1081	60812	501228
1082	60866	501155
1083	60923	501102
1084	60978	501035
1085	61033	500965
1086	61091	500925
1087	61147	500871
1088	61225	500995
1089	61290	501008
1090	61346	500953
1091	61403	500897
1092	61461	500856
1093	61519	500815
1094	61580	500800
1095	61641	500782
1096	61699	500738
1097	61759	500714
1098	61817	500667
1099	61875	500627
1100	61932	500579
1101	61993	500561
1102	62050	500507
1103	62108	500465
1104	62164	500406
1105	62225	500395
1106	62307	500539
1107	62363	500487
1108	62421	500443
1109	62479	500399
1110	62536	500347
1111	62590	500276
1112	62646	500212
1113	62704	500175
1114	62762	500132
1115	62818	500074
1116	62876	500027
1117	62934	499984
1118	62991	499933
1119	63051	499907
1120	63108	499853
1121	63167	499825
1122	63225	499776
1123	63282	499726
1124	63340	499688
1125	63404	499687
1126	63460	499629
1127	63514	499560
1128	63571	499506
1129	63627	499447
1130	63686	499414
1131	63743	499364
1132	63824	499502
1133	63885	499479
1134	63940	499412
1135	63998	499371
1136	64057	499334
1137	64114	499280
1138	64173	499245
1139	64224	499150
1140	64276	499058
1141	64327	498960
1142	64381	498889
1143	64433	498797
1144	64486	498715
1145	64540	498637
1146	64592	498547
1147	64642	498443
1148	64694	498353
1149	64744	498250
1150	64807	498243
1151	64857	498140
1152	64908	498042
1153	64961	497960
1154	65014	497879
1155	65064	497776
1156	65117	497693
1157	65169	497607
1158	65246	497712
1159	65299	497626
1160	65350	497529
1161	65403	497445
1162	65456	497370
1163	65510	497293
1164	65561	497195
1165	65613	497108
1166	65667	497036
1167	65718	496938
1168	65770	496847
1169	65821	496755
1170	65875	496679
1171	65925	496581
1172	65978	496499
1173	66030	496406
1174	66084	496339
1175	66136	496247
1176	66188	496161
1177	66238	496059
1178	66304	496075
1179	66401	496322
1180	66461	496296
1181	66518	496242
1182	66575	496194
1183	66634	496156
1184	66736	496441
1185	66802	496458
1186	66861	496418
1187	66915	496349
1188	66974	496309
1189	67030	496247
1190	67085	496182
1191	67144	496151
1192	67205	496129
1193	67261	496070
1194	67318	496018
1195	67379	495996
1196	67435	495938
1197	67494	495902
1198	67550	495840
1199	67608	495793
1200	67666	495751
1201	67723	495697
1202	67781	495657
1203	67837	495596
1204	67897	495567
1205	67954	495512
1206	68011	495462
1207	68068	495415
1208	68125	495362
1209	68183	495316
1210	68263	495428
1211	68317	495355
1212	68378	495332
1213	68432	495258
1214	68489	495208
1215	68546	495158
1216	68604	495110
1217	68661	495060
1218	68716	494995
1219	68773	494945
1220	68830	494890
1221	68889	494852
1222	68943	494779
1223	69000	494726
1224	69057	494676
1225	69113	494617
1226	69170	494568
1227	69228	494520
1228	69289	494495
1229	69344	494432
1230	69401	494381
1231	69458	494328
1232	69514	494270
1233	69572	494226
1234	69631	494184
1235	69694	494179
1236	69817	494592
1237	69875	494544
